COD FACT,NUM FACT,FECHA FACT,ID CLIENTE,CLIENTE,NIF CLIENTE,CUENTA PGC.,REF ORIG.,BASE,%R.E,R.E,IRPF,%IVA,IVA,IMPORTE,ES ABONO,SUBCUENTA,RAZON SOCIAL,CP,LIMITE ACTIVO,NO PERMITIR RECIBOS CON FACTURAS VENCIDAS DE MAS DE,DOCUM.PAGO,TIPO PAGO,DELEGACION
471230,20-19446-S1,3/3/2020,7678,"VALDECODE ONLINE, SL",B66515594,430007678,,33.77, ,0,0, ,7.09,40.86,0,No vinculada a subcuenta,"VALDECODE ONLINE, SL",28005,NO,,METÃLICO,CONTRATO CLIENTE,CENTRAL
,,,,,,,BASE 1:,33.77,0,0,,21,7.09,,,,,,,,,,
471132,20-19364-S1,3/3/2020,7678,"VALDECODE ONLINE, SL",B66515594,430007678,,6.46, ,0,0, ,1.36,7.81,0,No vinculada a subcuenta,"VALDECODE ONLINE, SL",28005,NO,,METÃLICO,CONTRATO CLIENTE,CENTRAL
,,,,,,,BASE 1:,6.46,0,0,,21,1.36,,,,,,,,,,
471093,20-19327-S1,3/3/2020,7678,"VALDECODE ONLINE, SL",B66515594,430007678,,20.84, ,0,0, ,4.38,25.22,0,No vinculada a subcuenta,"VALDECODE ONLINE, SL",28005,NO,,METÃLICO,CONTRATO CLIENTE,CENTRAL
,,,,,,,BASE 1:,20.84,0,0,,21,4.38,,,,,,,,,,
471087,20-19322-S1,3/3/2020,7678,"VALDECODE ONLINE, SL",B66515594,430007678,,15.63, ,0,0, ,3.28,18.92,0,No vinculada a subcuenta,"VALDECODE ONLINE, SL",28005,NO,,METÃLICO,CONTRATO CLIENTE,CENTRAL
,,,,,,,BASE 1:,15.63,0,0,,21,3.28,,,,,,,,,,
471084,20-19319-S1,3/3/2020,7678,"VALDECODE ONLINE, SL",B66515594,430007678,,18.64, ,0,0, ,3.91,22.55,0,No vinculada a subcuenta,"VALDECODE ONLINE, SL",28005,NO,,METÃLICO,CONTRATO CLIENTE,CENTRAL
,,,,,,,BASE 1:,18.64,0,0,,21,3.91,,,,,,,,,,
471082,20-19317-S1,3/3/2020,7678,"VALDECODE ONLINE, SL",B66515594,430007678,,22.95, ,0,0, ,4.82,27.77,0,No vinculada a subcuenta,"VALDECODE ONLINE, SL",28005,NO,,METÃLICO,CONTRATO CLIENTE,CENTRAL
,,,,,,,BASE 1:,22.95,0,0,,21,4.82,,,,,,,,,,
471071,20-19306-S1,3/3/2020,7678,"VALDECODE ONLINE, SL",B66515594,430007678,,16, ,0,0, ,3.36,19.36,0,No vinculada a subcuenta,"VALDECODE ONLINE, SL",28005,NO,,METÃLICO,CONTRATO CLIENTE,CENTRAL
,,,,,,,BASE 1:,16,0,0,,21,3.36,,,,,,,,,,
471069,20-19303-S1,3/3/2020,7678,"VALDECODE ONLINE, SL",B66515594,430007678,,86.62, ,0,0, ,18.19,104.81,0,No vinculada a subcuenta,"VALDECODE ONLINE, SL",28005,NO,,METÃLICO,CONTRATO CLIENTE,CENTRAL
,,,,,,,BASE 1:,86.62,0,0,,21,18.19,,,,,,,,,,
470822,20-19074-S1,3/2/2020,7678,"VALDECODE ONLINE, SL",B66515594,430007678,,7.15, ,0,0, ,1.5,8.66,0,No vinculada a subcuenta,"VALDECODE ONLINE, SL",28005,NO,,METÃLICO,CONTRATO CLIENTE,CENTRAL
,,,,,,,BASE 1:,7.15,0,0,,21,1.5,,,,,,,,,,
470751,20-19006-S1,3/2/2020,7678,"VALDECODE ONLINE, SL",B66515594,430007678,,48.88, ,0,0, ,10.27,59.15,0,No vinculada a subcuenta,"VALDECODE ONLINE, SL",28005,NO,,METÃLICO,CONTRATO CLIENTE,CENTRAL
,,,,,,,BASE 1:,48.88,0,0,,21,10.27,,,,,,,,,,
470698,20-18953-S1,3/2/2020,7678,"VALDECODE ONLINE, SL",B66515594,430007678,,23.58, ,0,0, ,4.95,28.53,0,No vinculada a subcuenta,"VALDECODE ONLINE, SL",28005,NO,,METÃLICO,CONTRATO CLIENTE,CENTRAL
,,,,,,,BASE 1:,23.58,0,0,,21,4.95,,,,,,,,,,
470667,20-18924-S1,3/2/2020,7678,"VALDECODE ONLINE, SL",B66515594,430007678,,44.02, ,0,0, ,9.24,53.27,0,No vinculada a subcuenta,"VALDECODE ONLINE, SL",28005,NO,,METÃLICO,CONTRATO CLIENTE,CENTRAL
